"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"temp2",915868,2,2,2,2,NA,NA,NA,NA,NA,NA
"temp2",932497,1,1,2,2,NA,NA,NA,NA,NA,NA
"temp2",932671,2,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",917846,1,1,2,1,1,1,1,1,NA,NA
"temp2",908370,1,2,1,NA,NA,NA,NA,NA,NA,NA
"temp2",907817,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",918040,1,2,1,1,3,NA,NA,NA,NA,NA
"temp2",933611,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",932541,1,2,2,1,NA,NA,NA,NA,NA,NA
"temp2",901629,2,2,1,1,NA,NA,NA,NA,NA,NA
"temp2",909796,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",909362,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",925574,1,1,2,NA,NA,NA,NA,NA,NA,NA
"temp2",921099,1,1,2,NA,NA,NA,NA,NA,NA,NA
"temp2",928590,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",917430,1,2,1,NA,NA,NA,NA,NA,NA,NA
"temp2",909646,1,1,1,1,1,NA,NA,NA,NA,NA
"temp2",923293,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",909585,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",919021,2,2,2,2,NA,NA,NA,NA,NA,NA
"temp2",926608,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",931046,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",918860,1,1,1,1,1,NA,NA,NA,NA,NA
"temp2",912762,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",931265,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",925233,2,2,2,1,1,NA,NA,NA,NA,NA
"temp2",903247,1,1,2,2,NA,NA,NA,NA,NA,NA
"temp2",926332,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",931135,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",916605,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",927016,1,1,1,1,1,1,1,NA,NA,NA
"temp2",927730,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",909748,1,2,1,NA,NA,NA,NA,NA,NA,NA
"temp2",932565,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",924778,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",922688,1,1,2,1,2,NA,NA,NA,NA,NA
"temp2",906459,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",931434,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",907250,1,1,1,1,1,NA,NA,NA,NA,NA
"temp2",905242,1,1,2,1,1,1,2,NA,NA,NA
"temp2",911752,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",912520,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",925041,1,2,1,1,1,1,1,NA,NA,NA
"temp2",933554,1,2,2,1,1,1,NA,NA,NA,NA
"temp2",916188,2,2,1,NA,NA,NA,NA,NA,NA,NA
"temp2",909145,1,1,1,1,1,NA,NA,NA,NA,NA
"temp2",920699,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",933656,2,2,1,1,NA,NA,NA,NA,NA,NA
"temp2",929101,1,2,1,1,1,NA,NA,NA,NA,NA
"temp2",927280,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",922396,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",927664,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",926669,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",931238,1,1,2,NA,NA,NA,NA,NA,NA,NA
